name,lived_in,type,taxonomy,species,period_name,period_start,period_end,named,named_year,length_meters,continent_AF,continent_AQ,continent_AS,continent_EU,continent_NA,continent_OC,continent_SA,diet_carnivorous,diet_herbivorous,diet_omnivorous,diet_unknown
lycorhinus,South Africa,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,angustidens,Late Triassic,205.0,195.0,Haughton,1924.0,1.2,True,False,False,False,False,False,False,False,True,False,False
magyarosaurus,Romania,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,dacus,Late Cretaceous,71.0,65.0,Nopcsa,1915.0,5.0,False,False,False,True,False,False,False,False,True,False,False
maiasaura,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,peeblesorum,Late Cretaceous,80.0,75.0,Horner and Makela,1979.0,9.0,False,False,False,False,True,False,False,False,True,False,False
majungasaurus,Madagascar,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,atopus,Late Cretaceous,84.0,71.0,Sues &amp; Taquet,1979.0,6.0,True,False,False,False,False,False,False,True,False,False,False
malawisaurus,Malawi,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,dixeyi,Early Cretaceous,121.0,112.0,Haughton,1928.0,9.0,True,False,False,False,False,False,False,False,True,False,False
mamenchisaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,constructus,Late Jurassic,155.0,145.0,Young,1954.0,22.0,False,False,True,False,False,False,False,False,True,False,False
mapusaurus,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,roseae,Late Cretaceous,99.0,94.0,Coria and Currie,2006.0,13.0,False,False,False,False,False,False,True,True,False,False,False
marshosaurus,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,bicentesimus,Late Jurassic,154.0,142.0,Madsen,1976.0,6.0,False,False,False,False,True,False,False,True,False,False,False
masiakasaurus,Madagascar,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,knopfleri,Late Cretaceous,84.0,71.0,Sampson Carrano &amp; Forster,2001.0,2.0,True,False,False,False,False,False,False,True,False,False,False
massospondylus,Zimbabwe,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,carinatus,Early Jurassic,208.0,204.0,Owen,1854.0,4.0,True,False,False,False,False,False,False,False,False,True,False
maxakalisaurus,Brazil,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,topai,Late Cretaceous,80.0,80.0,Kellner et al.,2006.0,13.0,False,False,False,False,False,False,True,False,True,False,False
megalosaurus,United Kingdom,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,bucklandii,Mid Jurassic,170.0,155.0,Ritgen,1826.0,9.0,False,False,False,True,False,False,False,True,False,False,False
melanorosaurus,South Africa,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,readi,Late Triassic,227.0,221.0,Haughton,1924.0,12.0,True,False,False,False,False,False,False,False,False,True,False
metriacanthosaurus,United Kingdom,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,parkeri,Late Jurassic,159.0,154.0,Walker,1964.0,8.2,False,False,False,True,False,False,False,True,False,False,False
microceratus,Mongolia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,gobiensis,Late Cretaceous,86.0,66.0,Bohlin,1953.0,0.5,False,False,True,False,False,False,False,False,True,False,False
micropachycephalosaurus,China,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,hongtuyanensis,Late Cretaceous,84.0,71.0,Dong,1978.0,0.6,False,False,True,False,False,False,False,False,True,False,False
microraptor,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,zhaoianus,Early Cretaceous,125.0,122.0,Xu Zhou and Wang,2000.0,0.8,False,False,True,False,False,False,False,True,False,False,False
minmi,Australia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,paravertebra,Early Cretaceous,121.0,112.0,Molnar,1980.0,3.0,False,False,False,False,False,True,False,False,True,False,False
monolophosaurus,China,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,jiangi,Mid Jurassic,180.0,159.0,Zhao and Currie,1993.0,5.7,False,False,True,False,False,False,False,True,False,False,False
mononykus,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,olecranus,Late Cretaceous,81.0,68.0,Perle Norell Chiappe and Clark,1993.0,1.0,False,False,True,False,False,False,False,False,False,False,True
mussaurus,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,patagonicus,Late Triassic,221.0,210.0,Bonaparte and Vince,1979.0,3.0,False,False,False,False,False,False,True,False,True,False,False
muttaburrasaurus,Australia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,langdoni,Early Cretaceous,110.0,100.0,Bartholomai and Molnar,1981.0,7.0,False,False,False,False,False,True,False,False,True,False,False
nanshiungosaurus,China,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,brevispinus,Late Cretaceous,84.0,71.0,Dong,1979.0,4.4,False,False,True,False,False,False,False,False,False,True,False
nedoceratops,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,hatcheri,Late Cretaceous,67.0,65.0,Lull,1905.0,7.0,False,False,False,False,True,False,False,False,True,False,False
nemegtosaurus,Mongolia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,mongoliensis,Late Cretaceous,72.0,68.0,Nowinski,1971.0,13.0,False,False,True,False,False,False,False,False,True,False,False
neovenator,United Kingdom,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,salerii,Early Cretaceous,127.0,121.0,Hutt Martill and Barker,1996.0,7.4,False,False,False,True,False,False,False,True,False,False,False
neuquenosaurus,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,australis,Late Cretaceous,71.0,65.0,Lydekker,1893.0,10.0,False,False,False,False,False,False,True,False,True,False,False
nigersaurus,Tunisia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,taqueti,Early Cretaceous,121.0,99.0,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson &amp; Wilson,1999.0,15.0,True,False,False,False,False,False,False,False,True,False,False
noasaurus,Argentina,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,leali,Late Cretaceous,84.0,65.0,Bonaparte and Powell,1980.0,1.0,False,False,False,False,False,False,True,True,False,False,False
nodosaurus,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,textilis,Early Cretaceous,110.0,100.0,Marsh,1889.0,5.0,False,False,False,False,True,False,False,False,True,False,False
nomingia,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,gobiensis,Late Cretaceous,72.0,68.0,Barsbold Osmólska Watabe Currie and Tsogtbaatar,2000.0,1.6,False,False,True,False,False,False,False,False,False,True,False
nothronychus,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,mckinleyi,Late Cretaceous,94.0,89.0,Kirkland and Wolfe,2001.0,5.3,False,False,False,False,True,False,False,False,False,True,False
nqwebasaurus,South Africa,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,thwazi,Mid Jurassic,159.0,132.0,de Klerk Forster Sampson Chinsamy and Ross,2000.0,1.0,True,False,False,False,False,False,False,True,False,False,False
omeisaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,junghsiensis,Mid Jurassic,169.0,159.0,Young,1939.0,20.0,False,False,True,False,False,False,False,False,True,False,False
opisthocoelicaudia,Mongolia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,skarzynskii ,Late Cretaceous,72.0,68.0,Borsuk-Bialynicka,1977.0,12.0,False,False,True,False,False,False,False,False,True,False,False
ornitholestes,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,hermanni,Late Jurassic,150.0,144.0,Osbourne,1933.0,2.0,False,False,False,False,True,False,False,True,False,False,False
ornithomimus,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,velox,Late Cretaceous,74.0,65.0,Marsh,1890.0,4.0,False,False,False,False,True,False,False,False,False,True,False
orodromeus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,makelai,Late Cretaceous,74.0,74.0,Horner and Weishampel,1988.0,2.0,False,False,False,False,True,False,False,False,True,False,False
oryctodromeus,USA,euornithopod,Dinosauria Ornithischia,cubicularis,Late Cretaceous,99.0,94.0,Varricchio Marin and Katsura,2007.0,2.1,False,False,False,False,True,False,False,False,True,False,False
othnielia,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,rex,Late Jurassic,154.0,142.0,Marsh,1877.0,1.4,False,False,False,False,True,False,False,False,True,False,False
ouranosaurus,Niger,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,nigeriensis,Early Cretaceous,115.0,100.0,Taquet,1976.0,7.0,True,False,False,False,False,False,False,False,True,False,False
oviraptor,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,philoceratops,Late Cretaceous,85.0,75.0,Osborn,1924.0,2.0,False,False,True,False,False,False,False,False,False,True,False
pachycephalosaurus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,wyomingensis,Late Cretaceous,76.0,65.0,Brown and Schlaikjer,1943.0,8.0,False,False,False,False,True,False,False,False,True,False,False
pachyrhinosaurus,Canada,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,canadensis,Late Cretaceous,76.0,74.0,Sternberg,1950.0,6.0,False,False,False,False,True,False,False,False,True,False,False
panoplosaurus,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,mirus,Late Cretaceous,79.0,75.0,Lambe,1919.0,7.0,False,False,False,False,True,False,False,False,True,False,False
paralititan,Egypt,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,stromeri,Late Cretaceous,99.0,94.0,Smith Lamanna Lacovara Dodson Smith Poole Giegengack and Attia,2001.0,28.0,True,False,False,False,False,False,False,False,True,False,False
parasaurolophus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,walkeri,Late Cretaceous,76.0,74.0,Parks,1922.0,11.0,False,False,False,False,True,False,False,False,True,False,False
parksosaurus,Canada,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,warrenae,Late Cretaceous,76.0,74.0,Sternberg,1937.0,3.0,False,False,False,False,True,False,False,False,True,False,False
patagosaurus,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,fariasi,Mid Jurassic,164.0,159.0,Bonaparte,1979.0,18.0,False,False,False,False,False,False,True,False,True,False,False
pelicanimimus,Spain,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,polyodon,Early Cretaceous,127.0,121.0,Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman,1994.0,2.0,False,False,False,True,False,False,False,True,False,False,False
pelorosaurus,United Kingdom,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,conybearei,Early Cretaceous,125.0,125.0,Mantell,1850.0,25.0,False,False,False,True,False,False,False,False,True,False,False
pentaceratops,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,sternbergi,Late Cretaceous,76.0,74.0,Osborn,1923.0,6.8,False,False,False,False,True,False,False,False,True,False,False
piatnitzkysaurus,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,floresi,Late Jurassic,164.0,159.0,Bonaparte,1979.0,4.2,False,False,False,False,False,False,True,True,False,False,False
pinacosaurus,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,grangeri,Late Cretaceous,81.0,75.0,Gilmore,1933.0,5.0,False,False,True,False,False,False,False,False,True,False,False
plateosaurus,Switzerland,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,engelhardti,Late Triassic,210.0,210.0,Meyer,1837.0,7.0,False,False,False,True,False,False,False,False,True,False,False
podokesaurus,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,holyokensis,Mid Jurassic,195.0,180.0,Talbot,1911.0,0.9,False,False,False,False,True,False,False,True,False,False,False
poekilopleuron,France,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,bucklandii,Mid Jurassic,169.0,164.0,Eudes-Deslongchamps,1838.0,9.0,False,False,False,True,False,False,False,True,False,False,False
polacanthus,United Kingdom,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,foxii,Early Cretaceous,125.0,125.0,Hulke,1881.0,5.0,False,False,False,True,False,False,False,False,True,False,False
prenocephale,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,prenes,Late Cretaceous,80.0,65.0,Maryańska and Osmólska,1974.0,2.4,False,False,True,False,False,False,False,False,True,False,False
probactrosaurus,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,gobiensis,Early Cretaceous,121.0,99.0,Rozhdestvensky,1966.0,6.0,False,False,True,False,False,False,False,False,True,False,False
proceratosaurus,United Kingdom,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,bradleyi,Mid Jurassic,169.0,164.0,Woodward,1910.0,4.1,False,False,False,True,False,False,False,True,False,False,False
procompsognathus,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,triassicus,Late Triassic,221.0,210.0,Fraas,1913.0,1.0,False,False,False,True,False,False,False,True,False,False,False
prosaurolophus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,maximus,Late Cretaceous,77.0,75.0,Brown,1916.0,7.6,False,False,False,False,True,False,False,False,True,False,False
protarchaeopteryx,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,robusta,Early Cretaceous,122.0,120.0,Ji and Ji,1997.0,2.0,False,False,True,False,False,False,False,True,False,False,False
protoceratops,Mongolia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,andrewsi,Late Cretaceous,74.0,70.0,Granger and Gregory,1923.0,1.8,False,False,True,False,False,False,False,False,True,False,False
protohadros,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,byrdi,Late Cretaceous,99.0,94.0,Head,1998.0,6.0,False,False,False,False,True,False,False,False,True,False,False
psittacosaurus,Russia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,mongoliensis,Early Cretaceous,120.0,100.0,Osborn,1923.0,2.0,False,False,False,True,False,False,False,False,True,False,False
quaesitosaurus,Mongolia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,orientalis,Late Cretaceous,86.0,84.0,Kurzanov and Bannikov,1983.0,23.0,False,False,True,False,False,False,False,False,True,False,False
rebbachisaurus,Morocco,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,garasbae,Early Cretaceous,112.0,99.0,Lavocat,1954.0,20.0,True,False,False,False,False,False,False,False,True,False,False
rhabdodon,Spain,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,priscus,Late Cretaceous,76.0,70.0,Matherton,1869.0,4.0,False,False,False,True,False,False,False,False,True,False,False
rhoetosaurus,Australia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda,brownei,Mid Jurassic,177.0,169.0,Longman,1926.0,15.0,False,False,False,False,False,True,False,False,True,False,False
rinchenia,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,mongoliensis,Late Cretaceous,72.0,68.0,Barsbold,1986.0,2.5,False,False,True,False,False,False,False,False,False,True,False
rugops,Niger,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,primus,Late Cretaceous,95.0,95.0,Sereno Wilson and Conrad,2004.0,7.0,True,False,False,False,False,False,False,True,False,False,False
saichania,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,chulsanensis,Late Cretaceous,80.0,80.0,Maryañska,1977.0,6.6,False,False,True,False,False,False,False,False,True,False,False
saltasaurus,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,loricatus,Late Cretaceous,70.0,65.0,Bonaparte and Powell,1980.0,12.0,False,False,False,False,False,False,True,False,True,False,False
sarcosaurus,United Kingdom,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,woodi,Early Jurassic,202.0,195.0,Andrews,1921.0,3.0,False,False,False,True,False,False,False,True,False,False,False
saurolophus,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,osborni,Late Cretaceous,74.0,70.0,Brown,1912.0,9.0,False,False,True,False,False,False,False,False,True,False,False
sauropelta,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,edwardsorum,Early Cretaceous,121.0,94.0,Ostrom,1970.0,6.5,False,False,False,False,True,False,False,False,True,False,False
saurophaganax,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,maximus,Late Jurassic,154.0,142.0,Chure,1996.0,12.0,False,False,False,False,True,False,False,True,False,False,False
saurornithoides,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,mongoliensis,Late Cretaceous,85.0,80.0,Osborn,1924.0,3.0,False,False,True,False,False,False,False,True,False,False,False
scelidosaurus,United Kingdom,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,harrisonii,Early Jurassic,208.0,194.0,Owen,1868.0,4.0,False,False,False,True,False,False,False,False,True,False,False
scutellosaurus,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora,lawleri,Early Jurassic,205.0,202.0,Colbert,1981.0,1.2,False,False,False,False,True,False,False,False,True,False,False
secernosaurus,Argentina,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,koerneri,Late Cretaceous,71.0,65.0,Brett-Surman,1979.0,3.0,False,False,False,False,False,False,True,False,True,False,False
segisaurus,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,halli,Mid Jurassic,195.0,180.0,Camp,1936.0,1.5,False,False,False,False,True,False,False,True,False,False,False
segnosaurus,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,galbinensis,Late Cretaceous,97.0,88.0,Perle,1979.0,4.0,False,False,True,False,False,False,False,True,False,False,False
shanag,Mongolia,small theropod,Dinosauria Saurischia,ashile,Early Cretaceous,126.0,142.0,Turner Hwang and Norell,2007.0,0.45,False,False,True,False,False,False,False,True,False,False,False
shantungosaurus,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,giganteus,Late Cretaceous,78.0,74.0,Hu,1973.0,15.0,False,False,True,False,False,False,False,False,True,False,False
shunosaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,lii,Mid Jurassic,170.0,160.0,Dong Zhou and Zhang,1983.0,10.0,False,False,True,False,False,False,False,False,True,False,False
shuvuuia,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,deserti,Late Cretaceous,75.0,81.0,Chiappe Norell and Clark,1998.0,0.6,False,False,True,False,False,False,False,False,False,True,False
silvisaurus,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,condrayi,Early Cretaceous,121.0,112.0,Eaton,1960.0,4.0,False,False,False,False,True,False,False,False,True,False,False
sinocalliopteryx,China,small theropod,Dinosauria Saurischia,gigas,Early Cretaceous,125.0,125.0,Ji Ji Lü and Yuan,2007.0,2.37,False,False,True,False,False,False,False,True,False,False,False
sinornithosaurus,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,millenii,Early Cretaceous,122.0,120.0,Xu Wang and Wu,1999.0,2.0,False,False,True,False,False,False,False,True,False,False,False
sinosauropteryx,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,prima,Early Cretaceous,122.0,120.0,Ji and Ji,1996.0,1.0,False,False,True,False,False,False,False,True,False,False,False
sinovenator,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,changii,Early Cretaceous,127.0,121.0,Xu Norell Wang Makovicky and Wu,2002.0,1.0,False,False,True,False,False,False,False,True,False,False,False
sinraptor,China,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,hepingensis,Mid Jurassic,169.0,142.0,Gao,1992.0,7.6,False,False,True,False,False,False,False,True,False,False,False
sonidosaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,saihangaobiensis,Late Cretaceous,89.0,65.0,Xu Zhang Tan Zhao and Tan,2006.0,9.0,False,False,True,False,False,False,False,False,True,False,False
spinosaurus,Morocco,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,aegyptiacus,Late Cretaceous,95.0,70.0,Stromer,1915.0,18.0,True,False,False,False,False,False,False,True,False,False,False
staurikosaurus,Brazil,large theropod,Dinosauria Saurischia Theropoda Herrerasauridae,pricei,Late Triassic,227.0,221.0,Colbert,1970.0,2.0,False,False,False,False,False,False,True,True,False,False,False
stegoceras,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,validum,Late Cretaceous,76.0,74.0,Lambe,1902.0,2.4,False,False,False,False,True,False,False,False,True,False,False
stegosaurus,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,armatus,Late Jurassic,155.0,145.0,Marsh,1877.0,9.0,False,False,False,False,True,False,False,False,True,False,False
